FECHA J HELIO,MAG,+/-,RSR,AIRMS,TRANS,"FWHM""",FONDO,N,NUM
2457557.37644,-0.039,0.002,484,2.248,1.33,5.28,-0.28,1,1
2457557.38303,-0.016,0.002,484,2.131,1.37,4.84,-0.18,1,2
2457557.38957,0.024,0.002,478,2.027,1.38,4.81,-0.13,1,3
2457557.39612,0.078,0.002,473,1.933,1.42,3.56,-0.08,1,4
2457557.40281,0.136,0.002,464,1.846,1.44,3.59,-0.04,1,5
2457557.40931,0.159,0.002,462,1.769,1.46,3.26,-0.01,1,6
2457557.41556,0.159,0.003,424,1.702,1.23,3.07,-0.06,1,7
2457557.42123,0.157,0.003,426,1.646,1.24,2.76,-0.04,1,8
2457557.42701,0.156,0.003,383,1.593,1.00,2.63,-0.13,1,9
2457557.43242,0.147,0.003,384,1.548,1.00,2.99,-0.13,1,10
2457557.43792,0.147,0.003,386,1.504,1.01,2.83,-0.10,1,11
2457557.44359,0.137,0.003,402,1.463,1.08,2.83,-0.05,1,12
2457557.44898,0.099,0.003,411,1.426,1.09,2.58,-0.02,1,13
2457557.45441,0.042,0.003,422,1.392,1.09,2.87,-0.01,1,14
2457557.45981,-0.001,0.003,432,1.360,1.10,3.00,0.00,1,15
2457557.46521,-0.042,0.002,440,1.330,1.10,2.81,0.01,1,16
2457557.47062,-0.070,0.002,447,1.302,1.11,2.62,0.02,1,17
2457557.47601,-0.090,0.002,452,1.276,1.11,2.48,0.04,1,18
2457557.48138,-0.113,0.002,457,1.252,1.11,2.67,0.05,1,19
2457557.48679,-0.133,0.002,463,1.229,1.12,2.12,0.06,1,20
2457557.49217,-0.147,0.002,467,1.208,1.12,2.23,0.07,1,21
2457557.49786,-0.159,0.003,414,1.187,0.88,2.86,-0.10,1,22
2457557.50242,-0.167,0.003,417,1.171,0.88,2.84,-0.07,1,23
2457557.50702,-0.169,0.003,417,1.156,0.88,3.28,-0.06,1,24
2457557.51154,-0.168,0.003,389,1.143,0.77,2.59,-0.36,1,25
2457557.51615,-0.164,0.003,416,1.129,0.88,2.73,-0.07,1,26
2457557.52068,-0.152,0.003,414,1.117,0.88,2.70,-0.04,1,27
2457557.52524,-0.141,0.003,399,1.106,0.83,2.85,-0.17,1,28
2457557.52978,-0.125,0.003,410,1.095,0.89,3.17,-0.03,1,29
2457557.53432,-0.109,0.003,405,1.085,0.88,2.59,-0.04,1,30
2457557.53889,-0.085,0.003,406,1.075,0.90,2.84,0.01,1,31
2457557.54351,-0.060,0.003,402,1.067,0.90,2.80,0.02,1,32
2457557.54807,-0.026,0.003,396,1.058,0.90,2.94,0.03,1,33
2457557.55262,0.008,0.003,390,1.051,0.90,2.84,0.04,1,34
2457557.55724,0.047,0.003,383,1.044,0.90,2.49,0.05,1,35
2457557.56176,0.086,0.003,377,1.038,0.91,2.24,0.05,1,36
2457557.56630,0.114,0.003,372,1.032,0.91,2.47,0.06,1,37
2457557.57093,0.127,0.003,370,1.027,0.91,2.28,0.06,1,38
2457557.57547,0.143,0.003,365,1.022,0.90,2.82,0.05,1,39
2457557.58003,0.149,0.003,366,1.018,0.91,2.12,0.07,1,40
2457557.58461,0.156,0.003,365,1.014,0.91,2.49,0.08,1,41
2457557.58915,0.157,0.003,365,1.011,0.91,2.17,0.08,1,42
2457557.59372,0.159,0.003,365,1.009,0.91,2.17,0.09,1,43
2457557.59828,0.155,0.003,366,1.007,0.91,2.24,0.09,1,44
2457557.60283,0.133,0.003,369,1.005,0.91,2.72,0.11,1,45
2457557.60738,0.095,0.003,375,1.004,0.91,2.69,0.11,1,46
2457557.61195,0.056,0.003,383,1.003,0.91,2.23,0.12,1,47
2457557.61652,0.023,0.003,388,1.003,0.91,2.63,0.13,1,48
2457557.62103,-0.006,0.003,394,1.004,0.91,2.41,0.14,1,49
2457557.62557,-0.031,0.003,398,1.005,0.91,2.30,0.15,1,50
2457557.63013,-0.051,0.003,402,1.006,0.91,2.70,0.17,1,51
2457557.63470,-0.068,0.003,405,1.008,0.91,2.21,0.18,1,52
2457557.63932,-0.083,0.003,407,1.010,0.91,2.44,0.20,1,53
2457557.64388,-0.095,0.003,409,1.013,0.91,2.67,0.21,1,54
2457557.64843,-0.105,0.003,411,1.017,0.91,2.35,0.22,1,55
2457557.65301,-0.111,0.003,412,1.021,0.91,2.53,0.18,1,56
2457557.65756,-0.105,0.003,412,1.025,0.91,2.74,0.07,1,57
2457557.66209,-0.111,0.003,412,1.030,0.90,2.51,-0.19,1,58
2457557.66661,-0.104,0.003,410,1.036,0.90,3.12,-0.65,1,59
