FECHA J HELIO,MAG,+/-,RSR,AIRMS,TRANS,"FWHM""",FONDO,N,NUM
2457538.45031,-0.01,0.002,710,"1,611",1.18,3.54,0.22,1,1
2457538.45104,-0.008,0.002,712,"1,605",1.19,3.49,0.23,1,2
2457538.45178,-0.011,0.002,709,"1,599",1.18,3.41,0.22,1,3
2457538.45251,-0.009,0.002,701,"1,593",1.16,3.6,0.2,1,4
2457538.45324,-0.01,0.002,693,"1,588",1.13,3.09,0.17,1,5
2457538.45397,-0.011,0.002,697,"1,582",1.14,3.58,0.18,1,6
2457538.45470,-0.011,0.002,709,"1,576",1.18,3.59,0.23,1,7
2457538.45543,-0.01,0.002,714,"1,571",1.2,3.29,0.24,1,8
2457538.45616,-0.009,0.002,713,"1,565",1.2,3.58,0.24,1,9
2457538.45689,-0.011,0.002,714,"1,559",1.2,3.58,0.25,1,10
2457538.45762,-0.012,0.002,713,"1,554",1.19,3.84,0.25,1,11
2457538.45835,-0.011,0.002,715,"1,548",1.2,3.38,0.25,1,12
2457538.45907,-0.01,0.002,712,"1,543",1.19,3.69,0.25,1,13
2457538.45980,-0.013,0.002,712,"1,538",1.19,4.03,0.24,1,14
2457538.46053,-0.012,0.002,713,"1,532",1.19,3.91,0.25,1,15
2457538.46126,-0.011,0.002,713,"1,527",1.19,3.79,0.25,1,16
2457538.46199,-0.013,0.002,715,"1,522",1.2,3.75,0.26,1,17
2457538.46273,-0.012,0.002,715,"1,516",1.2,3.67,0.26,1,18
2457538.46345,-0.014,0.002,717,"1,511",1.2,3.59,0.26,1,19
2457538.46418,-0.011,0.002,711,"1,506",1.19,3.66,0.24,1,20
2457538.46491,-0.016,0.002,703,"1,501",1.15,3.28,0.21,1,21
2457538.46564,-0.011,0.002,699,"1,496",1.15,3.54,0.2,1,22
2457538.46638,-0.013,0.002,633,"1,491",0.94,3.34,-0.03,1,23
2457538.46710,-0.008,0.002,561,"1,486",0.74,3.37,-0.32,1,24
2457538.46782,-0.01,0.002,530,"1,482",0.66,3.34,-0.46,1,25
2457538.46855,-0.014,0.002,549,"1,477",0.7,3.45,-0.38,1,26
2457538.46928,-0.008,0.002,557,"1,472",0.73,3.47,-0.34,1,27
2457538.47001,-0.015,0.002,517,"1,467",0.62,3.64,-0.52,1,28
2457538.47074,-0.012,0.002,541,"1,462",0.68,3.25,-0.41,1,29
2457538.47147,-0.006,0.002,554,"1,458",0.72,3.64,-0.35,1,30
2457538.47220,-0.014,0.002,519,"1,453",0.63,4.01,-0.5,1,31
2457538.47293,-0.008,0.002,531,"1,449",0.66,3.98,-0.44,1,32
2457538.47365,-0.01,0.002,600,"1,444",0.84,4.18,-0.16,1,33
2457538.47439,-0.004,0.002,554,"1,439",0.73,3.23,-0.34,1,34
2457538.47512,-0.007,0.002,622,"1,435",0.91,3.46,-0.07,1,35
2457538.47585,-0.008,0.002,640,"1,431",0.96,3.58,0,1,36
2457538.47659,-0.007,0.002,717,"1,426",1.21,3.37,0.27,1,37
2457538.47732,-0.004,0.002,715,"1,422",1.21,3.79,0.27,1,38
2457538.47804,-0.003,0.002,710,"1,417",1.19,3.53,0.25,1,39
2457538.47877,0,0.002,645,"1,413",0.99,3.89,0.02,1,40
2457538.47950,-0.014,0.002,584,"1,409",0.8,3.89,-0.23,1,41
2457538.48023,0,0.002,582,"1,405",0.8,4.59,-0.22,1,42
2457538.48097,0.006,0.002,647,"1,400",1,3.89,0.04,1,43
2457538.48170,-0.006,0.002,689,"1,396",1.12,3.87,0.17,1,44
2457538.48243,-0.001,0.002,603,"1,392",0.86,3.59,-0.14,1,45
2457538.48316,-0.002,0.002,659,"1,388",1.03,3.87,0.07,1,46
2457538.48388,0,0.002,710,"1,384",1.2,3.89,0.25,1,47
2457538.48461,0.002,0.002,693,"1,380",1.14,3.39,0.19,1,48
2457538.48607,-0.005,0.002,517,"1,372",0.63,4.72,-0.5,1,49
2457538.48678,0.006,0.002,522,"1,368",0.65,3.37,-0.46,1,50
2457538.48752,0.015,0.002,527,"1,365",0.67,3.29,-0.43,1,51
2457538.48825,0.003,0.002,677,"1,361",1.09,3.55,0.15,1,52
2457538.48897,0.002,0.002,652,"1,357",1.01,4.14,0.06,1,53
2457538.48970,0.007,0.002,629,"1,353",0.94,3.71,-0.02,1,54
2457538.49043,0.002,0.002,641,"1,349",0.98,3.51,0.02,1,55
2457538.49116,0.005,0.002,585,"1,346",0.81,3.86,-0.19,1,56
2457538.49189,0.002,0.002,675,"1,342",1.08,3.78,0.15,1,57
2457538.49335,0.01,0.002,689,"1,335",1.13,3.96,0.21,1,58
2457538.49407,0.007,0.002,708,"1,331",1.19,3.69,0.27,1,59
2457538.49480,0.007,0.002,693,"1,328",1.15,3.59,0.22,1,60
2457538.49552,0.006,0.002,674,"1,324",1.08,3.71,0.15,1,61
2457538.49625,0.004,0.002,656,"1,321",1.02,3.71,0.08,1,62
2457538.49698,0.01,0.002,631,"1,317",0.95,3.49,-0.01,1,63
2457538.49771,0.016,0.002,633,"1,314",0.96,3.31,0.01,1,64
2457538.49843,0.01,0.002,712,"1,310",1.21,3.92,0.29,1,65
2457538.49916,0.006,0.002,722,"1,307",1.24,3.96,0.32,1,66
2457538.49988,0.007,0.002,715,"1,304",1.22,4.5,0.3,1,67
2457538.50061,0.012,0.002,684,"1,300",1.12,3.83,0.19,1,68
2457538.50134,0.004,0.002,670,"1,297",1.07,3.67,0.13,1,69
2457538.50207,0.004,0.002,659,"1,294",1.03,3.68,0.09,1,70
2457538.50280,0.007,0.002,698,"1,291",1.16,4.23,0.24,1,71
2457538.50353,0.008,0.002,708,"1,287",1.2,3.92,0.27,1,72
2457538.50426,0.006,0.002,724,"1,284",1.25,4.2,0.32,1,73
2457538.50500,0.003,0.002,722,"1,281",1.24,4.21,0.31,1,74
2457538.50573,0.006,0.002,711,"1,278",1.21,3.92,0.28,1,75
2457538.50718,0.01,0.002,689,"1,272",1.14,3.92,0.21,1,76
2457538.50792,0.009,0.002,672,"1,269",1.08,3.99,0.15,1,77
2457538.50863,0.005,0.002,642,"1,266",0.98,3.64,0.04,1,78
2457538.50936,0.009,0.002,622,"1,263",0.92,3.58,-0.03,1,79
2457538.51009,0.008,0.002,558,"1,260",0.74,3.43,-0.29,1,80
2457538.51082,0.008,0.002,605,"1,257",0.88,3.45,-0.1,1,81
2457538.51155,0.009,0.002,573,"1,254",0.78,3.64,-0.22,1,82
2457538.51228,0.013,0.002,586,"1,251",0.82,3.78,-0.17,1,83
2457538.51301,0.005,0.002,675,"1,248",1.09,3.57,0.16,1,84
2457538.51374,0.007,0.002,694,"1,245",1.15,3.91,0.23,1,85
2457538.51447,0.002,0.002,578,"1,242",0.79,3.67,-0.21,1,86
2457538.51519,0.003,0.002,671,"1,240",1.07,3.41,0.14,1,87
2457538.51591,0.005,0.002,697,"1,237",1.16,3.58,0.24,1,88
2457538.51664,0.004,0.002,672,"1,234",1.07,4.15,0.15,1,89
2457538.51737,0.002,0.002,677,"1,231",1.09,4.22,0.17,1,90
2457538.51810,0.008,0.002,613,"1,229",0.9,3.21,-0.07,1,91
2457538.51882,0.002,0.002,606,"1,226",0.87,3.53,-0.1,1,92
2457538.51955,0.001,0.002,692,"1,223",1.14,3.52,0.22,1,93
2457538.52028,0.006,0.002,698,"1,221",1.16,3.48,0.24,1,94
2457538.52100,0.007,0.002,690,"1,218",1.14,3.49,0.22,1,95
2457538.52172,0.005,0.002,690,"1,216",1.13,3.51,0.21,1,96
2457538.52245,0.005,0.002,659,"1,213",1.03,3.32,0.1,1,97
2457538.52317,0.002,0.002,660,"1,211",1.03,3.74,0.1,1,98
2457538.52390,0.001,0.002,672,"1,208",1.07,3.47,0.15,1,99
2457538.52463,-0.002,0.002,638,"1,206",0.96,3.54,0.02,1,100
2457538.52536,0.009,0.002,621,"1,203",0.92,3.4,-0.03,1,101
2457538.52608,0.002,0.002,659,"1,201",1.03,3.43,0.11,1,102
2457538.52681,0.003,0.002,681,"1,198",1.1,3.32,0.19,1,103
2457538.52754,0.004,0.002,683,"1,196",1.11,3.29,0.2,1,104
2457538.52826,0.001,0.002,712,"1,193",1.2,3.63,0.29,1,105
2457538.52898,0.002,0.001,729,"1,191",1.26,3.56,0.35,1,106
2457538.52971,0.006,0.001,731,"1,189",1.27,3.55,0.36,1,107
2457538.53044,0.004,0.002,706,"1,186",1.19,3.42,0.27,1,108
2457538.53118,0.001,0.002,724,"1,184",1.24,3.73,0.34,1,109
2457538.53190,0.003,0.002,722,"1,182",1.24,3.88,0.33,1,110
2457538.53263,0.005,0.002,721,"1,180",1.24,3.64,0.33,1,111
2457538.53336,0.003,0.002,725,"1,177",1.25,3.54,0.35,1,112
2457538.53407,0.003,0.002,721,"1,175",1.24,3.85,0.33,1,113
2457538.53480,0.007,0.001,733,"1,173",1.28,3.38,0.37,1,114
2457538.53553,0.004,0.001,733,"1,171",1.28,3.42,0.37,1,115
2457538.53626,0.002,0.001,732,"1,169",1.27,3.91,0.37,1,116
2457538.53699,0.005,0.002,726,"1,166",1.25,3.55,0.35,1,117
2457538.53772,0.001,0.001,728,"1,164",1.26,3.19,0.35,1,118
2457538.53845,-0.001,0.002,702,"1,162",1.16,3.83,0.26,1,119
2457538.53918,0,0.002,723,"1,160",1.24,3.32,0.33,1,120
2457538.53991,0.002,0.001,731,"1,158",1.27,2.96,0.36,1,121
2457538.54063,0,0.002,683,"1,156",1.11,3.52,0.2,1,122
2457538.54135,0,0.002,725,"1,154",1.25,3.38,0.34,1,123
2457538.54207,0.001,0.001,736,"1,152",1.28,3.31,0.38,1,124
2457538.54280,-0.001,0.001,730,"1,150",1.26,3.95,0.36,1,125
2457538.54353,-0.003,0.001,729,"1,148",1.26,3.21,0.35,1,126
2457538.54426,-0.001,0.002,695,"1,146",1.14,3.21,0.23,1,127
2457538.54498,-0.001,0.002,699,"1,144",1.16,3.4,0.25,1,128
2457538.54572,-0.001,0.001,729,"1,142",1.26,3.41,0.35,1,129
2457538.54645,-0.002,0.002,714,"1,140",1.21,3.68,0.3,1,130
2457538.54716,-0.001,0.002,667,"1,138",1.05,3.54,0.13,1,131
2457538.54789,-0.001,0.002,688,"1,137",1.12,3.71,0.21,1,132
2457538.54862,-0.002,0.002,694,"1,135",1.14,3.55,0.23,1,133
2457538.54935,-0.006,0.002,690,"1,133",1.12,3.46,0.21,1,134
2457538.55007,-0.005,0.002,720,"1,131",1.22,3.38,0.32,1,135
2457538.55080,-0.005,0.002,721,"1,129",1.23,3.35,0.32,1,136
2457538.55153,-0.008,0.002,701,"1,128",1.16,3.42,0.24,1,137
2457538.55226,-0.003,0.002,679,"1,126",1.09,3.9,0.17,1,138
2457538.55299,-0.005,0.002,683,"1,124",1.1,2.87,0.18,1,139
2457538.55372,-0.007,0.002,680,"1,122",1.09,3.04,0.16,1,140
2457538.55443,-0.007,0.002,666,"1,121",1.04,3.58,0.11,1,141
2457538.55516,-0.007,0.002,668,"1,119",1.05,3.67,0.12,1,142
2457538.55589,-0.01,0.002,661,"1,117",1.03,3.78,0.09,1,143
2457538.55661,-0.011,0.002,609,"1,116",0.87,3.54,-0.12,1,144
2457538.55807,-0.014,0.002,560,"1,112",0.73,3.27,-0.33,1,145
2457538.55879,-0.01,0.002,503,"1,111",0.6,3.81,-0.58,1,146
2457538.55953,-0.009,0.002,440,"1,109",0.45,3.49,-0.9,1,147
2457538.56024,-0.009,0.002,526,"1,108",0.65,3.19,-0.47,1,148
2457538.56097,-0.006,0.002,539,"1,106",0.68,3.47,-0.41,1,149
2457538.56169,-0.012,0.002,552,"1,105",0.71,3.71,-0.36,1,150
2457538.56242,-0.017,0.002,546,"1,103",0.7,3.39,-0.4,1,151
2457538.56315,-0.013,0.002,597,"1,101",0.83,3.42,-0.18,1,152
2457538.56461,-0.017,0.002,638,"1,098",0.95,3.07,-0.03,1,153
2457538.56534,-0.018,0.002,611,"1,097",0.87,3.89,-0.14,1,154
2457538.56678,-0.018,0.002,570,"1,094",0.76,3.98,-0.32,1,155
2457538.56751,-0.01,0.002,587,"1,093",0.81,3.12,-0.23,1,156
2457538.56824,-0.015,0.002,578,"1,091",0.78,3.07,-0.28,1,157
